Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1992-07-05,Australia,Croatia,1,0,Friendly,Melbourne,Australia,False
1992-07-08,Australia,Croatia,3,1,Friendly,Adelaide,Australia,False
1992-07-12,Australia,Croatia,0,0,Friendly,Sydney,Australia,False
1992-10-22,Croatia,Mexico,3,0,Friendly,Zagreb,Croatia,False
1993-06-25,Croatia,Ukraine,3,1,Friendly,Zagreb,Croatia,False
1994-03-23,Spain,Croatia,0,2,Friendly,Valencia,Spain,False
1994-04-20,Slovakia,Croatia,4,1,Friendly,Bratislava,Slovakia,False
1994-05-18,Hungary,Croatia,2,2,Friendly,Győr,Hungary,False
1994-06-04,Croatia,Argentina,0,0,Friendly,Zagreb,Croatia,False
1994-08-17,Israel,Croatia,0,4,Friendly,Ramat Gan,Israel,False
1994-09-04,Estonia,Croatia,0,2,UEFA Euro qualification,Tallinn,Estonia,False
1994-10-09,Croatia,Lithuania,2,0,UEFA Euro qualification,Zagreb,Croatia,False
1994-11-16,Italy,Croatia,1,2,UEFA Euro qualification,Palermo,Italy,False
1995-03-25,Croatia,Ukraine,4,0,UEFA Euro qualification,Zagreb,Croatia,False
1995-03-29,Lithuania,Croatia,0,0,UEFA Euro qualification,Vilnius,Lithuania,False
1995-04-26,Croatia,Slovenia,2,0,UEFA Euro qualification,Zagreb,Croatia,False
1995-06-11,Ukraine,Croatia,1,0,UEFA Euro qualification,Kyiv,Ukraine,False
1995-09-03,Croatia,Estonia,7,1,UEFA Euro qualification,Zagreb,Croatia,False
1995-10-08,Croatia,Italy,1,1,UEFA Euro qualification,Split,Croatia,False
1995-11-15,Slovenia,Croatia,1,2,UEFA Euro qualification,Ljubljana,Slovenia,False
1996-02-28,Croatia,Poland,2,1,Friendly,Rijeka,Croatia,False
1996-03-13,Croatia,South Korea,3,0,Friendly,Zagreb,Croatia,False
1996-03-26,Croatia,Israel,2,0,Friendly,Varaždin,Croatia,False
1996-04-10,Croatia,Hungary,4,1,Friendly,Osijek,Croatia,False
1996-04-24,England,Croatia,0,0,Friendly,London,England,False
1996-06-02,Republic of Ireland,Croatia,2,2,Friendly,Dublin,Republic of Ireland,False
1996-06-11,Turkey,Croatia,0,1,UEFA Euro,Nottingham,England,True
1996-06-16,Croatia,Denmark,3,0,UEFA Euro,Sheffield,England,True
1996-06-19,Croatia,Portugal,0,3,UEFA Euro,Nottingham,England,True
1996-06-23,Germany,Croatia,2,1,UEFA Euro,Manchester,England,True
1996-10-08,Bosnia and Herzegovina,Croatia,1,4,FIFA World Cup qualification,Bologna,Italy,True
1996-11-10,Croatia,Greece,1,1,FIFA World Cup qualification,Zagreb,Croatia,False
1996-12-11,Morocco,Croatia,2,2,King Hassan II Tournament,Casablanca,Morocco,False
1996-12-12,Croatia,Czech Republic,1,1,King Hassan II Tournament,Casablanca,Morocco,True
1997-03-29,Croatia,Denmark,1,1,FIFA World Cup qualification,Split,Croatia,False
1997-04-02,Croatia,Slovenia,3,3,FIFA World Cup qualification,Split,Croatia,False
1997-04-30,Greece,Croatia,0,1,FIFA World Cup qualification,Salonica,Greece,False
1997-06-08,Japan,Croatia,4,3,Kirin Cup,Tokyo,Japan,False
1997-06-12,Croatia,Turkey,1,1,Kirin Cup,Sendai,Japan,True
1997-09-06,Croatia,Bosnia and Herzegovina,3,2,FIFA World Cup qualification,Zagreb,Croatia,False
1997-09-10,Denmark,Croatia,3,1,FIFA World Cup qualification,Copenhagen,Denmark,False
1997-10-11,Slovenia,Croatia,1,3,FIFA World Cup qualification,Ljubljana,Slovenia,False
1997-10-29,Croatia,Ukraine,2,0,FIFA World Cup qualification,Zagreb,Croatia,False
1997-11-15,Ukraine,Croatia,1,1,FIFA World Cup qualification,Kyiv,Ukraine,False
1998-04-22,Croatia,Poland,4,1,Friendly,Osijek,Croatia,False
1998-06-03,Croatia,Iran,2,0,Friendly,Rijeka,Croatia,False
1998-06-06,Croatia,Australia,7,0,Friendly,Zagreb,Croatia,False
1998-06-14,Jamaica,Croatia,1,3,FIFA World Cup,Lens,France,True
1998-06-20,Japan,Croatia,0,1,FIFA World Cup,Nantes,France,True
1998-06-26,Argentina,Croatia,1,0,FIFA World Cup,Bordeaux,France,True
1998-06-30,Romania,Croatia,0,1,FIFA World Cup,Bordeaux,France,True
1998-07-04,Germany,Croatia,0,3,FIFA World Cup,Lyon,France,True
1998-07-08,France,Croatia,2,1,FIFA World Cup,Saint-Denis,France,False
1998-07-11,Netherlands,Croatia,1,2,FIFA World Cup,Paris,France,True
1998-09-05,Republic of Ireland,Croatia,2,0,UEFA Euro qualification,Dublin,Republic of Ireland,False
1998-10-10,Malta,Croatia,1,4,UEFA Euro qualification,Attard,Malta,False
1998-10-14,Croatia,North Macedonia,3,2,UEFA Euro qualification,Zagreb,Croatia,False
1999-02-10,Croatia,Denmark,0,1,Friendly,Split,Croatia,False
1999-03-10,Greece,Croatia,3,2,Friendly,Athens,Greece,False
1999-04-28,Croatia,Italy,0,0,Friendly,Zagreb,Croatia,False
1999-05-05,Spain,Croatia,3,1,Friendly,Seville,Spain,False
1999-06-05,North Macedonia,Croatia,1,1,UEFA Euro qualification,Skopje,North Macedonia,False
1999-06-13,Croatia,Egypt,2,2,Korea Cup,Seoul,South Korea,True
1999-06-16,Croatia,Mexico,2,1,Korea Cup,Seoul,South Korea,True
1999-06-19,South Korea,Croatia,1,1,Korea Cup,Seoul,South Korea,False
1999-08-18,Serbia,Croatia,0,0,UEFA Euro qualification,Belgrade,Yugoslavia,False
1999-08-21,Croatia,Malta,2,1,UEFA Euro qualification,Zagreb,Croatia,False
